Reviewer,Brand,Model,model,Location,lat,long,country,subreg1,subreg2,Study.Type,Freq1,Freq2,Freq3,Notes,Duration1,Duration2,Duration3,Duration4,Depth1,Depth2,Depth3,Depth4,Notes.1,Accuracy1,Accuracy2,Notes.2,Calibrated,Notes.3,Shaded,Notes.4,Data.Available,Notes.5,Citation,DOI,Notes.6,X
Erik,Onset Computer Corporation,HOBO,Not mentioned,"Islas Marietas National Park, Mexico (3 coordinates available)",20.6996,-105.5702,Mexico,,,Ecology,1440,,NA,1d?,24 months (September 2018–October 2020),,,,6,8,,NA,6-8m?,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,all included,,https://doi.org/10.3390/d13090450,,
Jess,Onset Computer Corporation,HOBO,Not mentioned,"05520N, 162050W",5.8833,-162.0833,Line Islands,,,Management,0.0167,60,NA,1x/sec to 1x/60min,a few min to 731days,spanning 10-year period,,,10,,,NA,top 10m (values across top 10m averaged),Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Gardner JPA, Bartz RJ, Brainard RE, Collen JD, Dunbar RB, Garton DW, Powell S (2014) Conservation management options and actions: Putative decline of coral cover at Palmyra Atoll, Northern Line Islands, as a case study. Marine Pollution Bulletin 84: 182-190",10.1016/j.marpolbul.2014.05.013,,compiled data from multiple loggers and CTDs
Jess,Onset Computer Corporation,HOBO,Not mentioned,"4 sites (Vipingo, Kanamai, Mombasa, Diani) in Southern Kenya",-4.04374,39.65887,Kenya,,,Ecology,60,180,NA,,365,,,,0.3,1,,NA,0.3-1 (at low tide),0.35,,,Not mentioned,,Yes,covered in black plastic and embedded in masonry cement to avoid light,No,,"Baker AC, McClanahan TR, Starger CJ, Boonstra RK (2013) Long-term monitoring of algal symbiont communities in corals reveals stability is taxon dependent and driven by site-specific thermal regime. Mar Ecol Prog Ser 479:85-97. https://doi.org/10.3354/meps10102",10.3354/meps10102,,
Wally,Onset Computer Corporation,HOBO,Not mentioned,Kenya,-4.04374,39.65887,Kenya,,,Ecology,1,3,NA,,18 years,,,,1,,,NA,,0.35,,,Not mentioned,,Yes,,No,,McClannahan et al. 2014,http://dx.doi.org/10.1111/maec.12225,,
Nicole,Onset Computer Corporation,HOBO Aquapro,HOBO Aquapro,"Yawzi Point, St. John, US Virgin Islands",18.3152,-64.7257,Caribbean,,,Ecology,15,30,NA,,1 yr & 1 yr 9 months (Ryan Industries thermistor),5 months & 2 yrs (Optic Stowaway loggers),,~10 yrs (HOBO Aqua Pro),11,,,NA,,0.2,,,Not mentioned,,Not mentioned,,Yes,,"Edmunds et al., 2021",http://dx.doi.org/10.1002/lno.11650,,
Lena,Onset Computer Corporation,HOBO Aquapro,HOBO Aquapro,"west Little Lameshur Bay (N 18° 19.023⸍, W64° 43.682⸍), Europa Bay (N 18° 18.996⸍, W64° 43.793⸍), White Point (N 18° 18.879⸍, W64° 43.891⸍), Cabritte Horn (), east Tektite (N 18° 18.657⸍, W64° 43.312⸍), and Neptune's Table (N 18° 18.739⸍, W64° 43.379⸍)",18.30702,-64.72132,Caribbean,,,Ecology,15,30,NA,15-30,"January 1992-April 1997, and November 1997 to August 1999","May 1997 to October 1997, and August 1999 to August 2001",August 2001 to August 2008,,11,9,9,NA,,0.3,0.2,,Not mentioned,,Not mentioned,,No,,"Brown and Edmunds, 2013",http://dx.doi.org/10.1016/j.jembe.2013.01.013,,
Jess,Onset Computer Corporation,HOBO MX-2201,HOBO MXTemp,"23.4423°S, 151.9148°E",-23.4423,151.9148,Australia,,,Ecology,Not mentioned,,NA,,53,,,,1,2,,NA,2-Jan,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Bergman JL, Leggat W and Ainsworth TD (2021) The Meta-Organism Response of the Environmental Generalist Pocillopora damicornis Exposed to Differential Accumulation of Heat Stress. Front. Mar. Sci. 8:664063. doi: 10.3389/fmars.2021.664063",10.3389/fmars.2021.664063,,
Wally,Onset Computer Corporation,HOBO MX-2201,HOBO MXTemp,"Sodwana Bay, South Africa (-27º24'53.7"", 32º43'35.8"")",-27.41492,32.72661,South Africa,,,Physical Oceanography,Not mentioned,,NA,,3 weeks,,,,Not mentioned,,,NA,,0.5,,,Not mentioned,,Not mentioned,,No,,Deoraj et al. 2022,http://dx.doi.org/10.1007/s10652-022-09896-9,,
Jess,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"27.91140°N, − 93.59821°W; 27.87429°N, − 93.82033°W",27.9114,-93.59821,Texas,,,Ecology,15,,NA,,not explicitly stated,,,,20,45,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Polinski, J.M., Voss, J.D. Evidence of photoacclimatization at mesophotic depths in the coral-Symbiodinium symbiosis at Flower Garden Banks National Marine Sanctuary and McGrail Bank. Coral Reefs 37, 779–789 (2018). https://doi.org/10.1007/s00338-018-1701-2",10.1007/s00338-018-1701-2,,
Jess,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"14.1750°S, 169.6180°W",-14.175,-169.618,Samoa,,,Ecology,12,,NA,,10,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Ruiz-Jones LJ, Palumbi SR (2015) Transcriptome-wide Changes in Coral Gene Expression at Noon and Midnight Under Field Conditions. The Biological Bulletin 228:3, 227-241",10.1086/BBLv228n3p227,,
Jess,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"32.804 N, 129.731 E; 32.187 N, 129.968 E",32.804,129.731,Japan,,,Ecology,30,30,NA,,approx. 4685,approx. 2190,,,9,5,,NA,,Not mentioned,not mentioned,,Not mentioned,,Not mentioned,,No,,"Suzuki G, Kadota T, Yatsuya K, et al. (2021) Occasional loss of fecundity in peripheral coral populations. Ecological Research 36:119–128. https://doi.org/10.1111/1440-1703. 12177",10.1111/1440-1703.12177,,
Jess,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"Bahía de La Paz and Bahía de Loreto, Gulf of California",25.84306,-111.21667,Mexico,Carmen Island,,Ecology,60,,NA,,478,354,,,3,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Rafael A. Cabral-Tena, David A. Paz-García, Héctor Reyes-Bonilla, Sergio S. González-Peláez, and Eduardo F. Balart ""Spatiotemporal Variability in Coral (Anthozoa: Scleractinia) Larval Recruitment in the Southern Gulf of California ,"" Pacific Science 72(4), 435-447, (1 October 2018). https://doi.org/10.2984/72.4.4",10.2984/72.4.4,,
Jess,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"22° 17.780N, 39° 04.444E",22.29633,39.07407,Saudi Arabia,,,Ecology,10,,NA,,29,,,,18,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"van der Merwe R, Röthig T, Voolstra CR, Ochsenkühn MA, Lattemann S and Amy GL (2014) High salinity tolerance of the Red Sea coral Fungia granulosa under desalination concentrate discharge conditions: an in situ photophysiology experiment. Front. Mar. Sci. 1:58. doi: 10.3389/fmars.2014.00058",10.3389/fmars.2014.00058,,
Gage,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,Florida Keys,24.58588,-81.58143,Florida,,,Ecology,30,,NA,,8 yrs,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Miller et al. 2016,http://dx.doi.org/10.1007/s00338-016-1472-6,,
Nicole,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"St. John, US Virgin Islands National Park",18.33107,-64.79486,Caribbean,,,Ecology,10,,NA,,84 days,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Lillis and Mooney, 2018",http://dx.doi.org/10.1007/s00338-018-1684-z,,
Lena,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"Meso-American Barrier Reef, Belize ()",16.80167,-88.08275,Belize,,,Ecology,Not mentioned,,NA,,12 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Pitts et al., 2020 ",http://dx.doi.org/10.1007/s00338-019-01888-4,,
Wally,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"Bocas del Toro, Panama",9.3408,-82.2408,Panama,,,Ecology,15,,NA,,1 yr,,,,5,19,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Rodas et al. 2020,http://dx.doi.org/10.1007/s00338-020-01979-7,,
Lena,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,Kāne’ohe Bay,20.433,-157.78633,Hawaii,Hawaii,,Ecology,Not mentioned,,NA,,56 days,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Dilworth et al., 2021",http://dx.doi.org/10.1007/s00338-020-02024-3,Mentioned that they used triplicate loggers ,
Nicole,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"One Tree Island (23°30' S, 152°06' E) and Lizard Island (), Great Barrier Reef, Australia",-14.66667,145.46667,Australia,,,Ecology,60,,NA,,Not mentioned,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Booth and Beretta, 2021",http://dx.doi.org/10.1007/s00338-021-02134-6,,
Lena,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,Sal Island (Cape Verde) ,16.85,-22.9167,Cape Verde,,,Ecology,15,,NA,,8 months (April-Dec 2009),,,,5,10,,NA,"5-6, 10-11",Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Monteiro et al., 2013",http://dx.doi.org/10.1007/s12526-013-0153-8,Mentioned that they cleaned the loggers every 15-20 days to avoid fouling,
Lena,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"Florida Reef Track (Broward County (BWD), Middle Keys (MDK), and Dry Tortugas (DRTO)",24.58588,-81.58143,Florida,,,Ecology,120,,NA,,"BWD June 2011–July 2015, MDK July 2011–November 2014, and DRTO April 2012–June 2015",,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Goergen et al., 2020",http://dx.doi.org/10.1016/bs.amb.2020.08.004,,
Wally,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,American Samoa,14.271,170.1322,Samoa,,,Ecology,10,,NA,,15 days,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Ruiz-Jones and Palumbi 2019,http://dx.doi.org/10.1016/j.jembe.2019.05.003,,
Wally,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"Plibara coast, Austraia ()",-21.91845,114.4335,Australia,,,Ecology,60,,NA,,1 year,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Dee et al. 2021,http://dx.doi.org/10.1016/j.marenvres.2021.105386,,
Nicole,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,Little Cayman,19.6833,-80.05,Caribbean,,,Ecology,Not mentioned,,NA,"""Continuously""",3 months,,,,1,10,16,NA,"1,10, and 16",Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Lohr et al., 2017",http://dx.doi.org/10.1016/j.rsma.2016.11.003,,
Gage,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"Jeju Island, South Korea and Penghu, Taiwan",33.3846,126.5535,South Korea,Cheju Do,,Ecology,60,10,NA,,31 days,,,,10,2,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Keshavmurthy et al. 2021,http://dx.doi.org/10.1016/j.scitotenv.2020.143628,,
Wally,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"ISla Marietas national park, Mexico (, ",20.71306,-105.555,Mexico,,,Ecology,15,,NA,,1 year,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Rodriguez-Troncoso et al. 2019,http://dx.doi.org/10.1016/j.seares.2018.12.007,,
Wally,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"Tahala Reef, Saudi Arabia",22.2757,39.1133,Saudi Arabia,,,Ecology,15,,NA,,4 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Voolstra et al. 2020,http://dx.doi.org/10.1111/gcb.15148,,
Wally,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"Matapolo, Costa Rica",8.3982,-83.2814,Costa Rica,,,Ecology,Not mentioned,,NA,,Not mentioned,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Stuhldreier et al. 2015,http://dx.doi.org/10.3389/fmars.2015.00113,,
Lena,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"Hurricane Hole, US Virgin Islands",18.3448,-64.697,Caribbean,Saint John,,Ecology,120,,NA,,"2005, 2010-2011",,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Yates et al., 2014",http://dx.doi.org/10.5194/bg-11-4321-2014,,
Wally,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"Luhuitou, China",18.2217,109.5009,China,,,Ecology,Not mentioned,,NA,,4 years,,,,3,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Jiang et al. 2017,http://dx.doi.org/10.5194/bg-14-5741-2017,,
Erik,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"O‘ahu, Hawai‘i (4 sites)",21.30694,-157.85833,Hawaii,Hawaii,Oahu,Ecology,Not mentioned,,NA,daily avg presented but ,24 months (7 Aug 2015 to 7 Aug 2017),,,,1,9,,NA,1-9 m (?),Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,,https://doi.org/10.1111/1365-2435.13653,,
Lena,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"(22°32′ N, 114°25′ E)",22.53333,114.41667,China,,,Physical Oceanography?,30,,NA,,48 months,,,,1,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Yi Chui et al., 2016",http://dx.doi.org/10.1016/j.rsma.2016.04.004,,
Lena,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"0.3744°S, 159.9967°W",-0.3744,-159.9967,Line Islands,,,Ecology,30,,NA,,2010-2016,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Yes,,No,?,"Williams et al., 2017",http://dx.doi.org/10.1016/j.marpolbul.2017.07.001,,
Wally,Onset Computer Corporation,HOBO Pendant,HOBO Pendant,"Heron Island, Australia",-23.45,151.91667,Australia,,,Ecology,30,,NA,,1 year,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Yes,Yes (but see notes),No,,Nay et al. 2020,http://dx.doi.org/10.1111/jfb.14616,"They said ""to protect the logger it was placed ina. PVC tube"" but didn't make mention of hte sun",
Jess,Onset Computer Corporation,HOBO Pendant ,HOBO Pendant,"The Arch, Lord Howe Island, Australia",-31.55,159.0833,Australia,,,Ecology,15,,NA,,approx. 342,,,,11.6,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Wilkinson, S.P., Pontasch, S., Fisher, P.L. et al. The distribution of intra-genomically variable dinoflagellate symbionts at Lord Howe Island, Australia. Coral Reefs 35, 565–576 (2016). https://doi.org/10.1007/s00338-015-1357-0",10.1007/s00338-015-1357-0,validated against logger operated by AIMS,
Nicole,Onset Computer Corporation,HOBO Pendant ,HOBO Pendant,"Heron Island, southern Great Barrier Reef () ",-23.45,151.91667,Australia,,,Ecology,Not mentioned,,NA,"""Continuously""",2 months,,,,2,8,,NA,8-Feb,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Rathbone et al., 2022",http://dx.doi.org/10.1002/lno.11991,,
Nicole,Onset Computer Corporation,HOBO Pendant ,HOBO Pendant,"Isla Larga and Isla Redonda, Central Mexican Pacific",20.71394,-105.565,Mexico,,,Ecology,15,,NA,,"~ 4 years, 9 months",,,,7,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Cruz-Garcia et al., 2020",http://dx.doi.org/10.1071/MF18481,each sensor was replaced every two months,
Lena,Onset Computer Corporation,HOBO Pendant ,HOBO Pendant,"Kāne‘ohe Bay on O‘ahu Hawai‘i, USA",20.433,-157.78633,Hawaii,Hawaii,,Ecology,15,,NA,,October 2014-December 2015,,,,2,,,NA,,Not mentioned,,,Yes,,Yes,,Yes,?,"Ritson-Williams et al., 2020",http://dx.doi.org/10.1007/s00338-020-01944-4,,
Lena,Onset Computer Corporation,HOBO Pendant 64K,HOBO Pendant,"Bocas del Toro, Panama",9.3408,-82.2408,Panama,,,Ecology,Not mentioned,,NA,,7,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Yes,,No,,"Stewart et al., 2021",http://dx.doi.org/10.1002/ecs2.3413,Protection from sun was more to mimic mangrove shading rather than to avoid potential distortion to temperature measurements ,
Lena,Onset Computer Corporation,HOBO Pendant MX2202,HOBO MXTemp/Light,"Rio do Fogo, Northeast Brazil (",-5.2746,-35.3825,Brazil,,,Ecology,15,,NA,,~90 days (3 months),,,,Not mentioned,,,NA,,Not mentioned,,"(did mentioned light measurement accuracy, 4606 lx ± 327 SE",Yes,,Not mentioned,,No,,Lonzetti et al. 2022,http://dx.doi.org/10.1007/s00338-021-02212-9,,
Nicole,Onset Computer Corporation,HOBO Pendant Temp,HOBO Pendant Temp,"Normanby Island (9.49°S, 150.49°E), Papua New Guinea",-9.49,150.49,Papua New Guinea,Fergusson Island,,Biogeochemistry,Not mentioned,,NA,"""Continuously""",5-11 days,,,,Not mentioned,,,NA,"""2–5 cm above the sediment surface""",Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Lichtschlag et al., 2022",http://dx.doi.org/10.1002/lno.12017,,
Gage,Onset Computer Corporation,HOBO Pendant Temp,HOBO Pendant Temp,"Hengam Island, Persian Gulf (, )",26.65875,55.91652,United Arab Emirates,,,Biogeochemistry,Not mentioned,,NA,,2.5 yrs,,,,4,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Samiei et al. 2016,http://dx.doi.org/10.1007/s00338-016-1464-6,,
Nicole,Onset Computer Corporation,HOBO Pendant Temp,HOBO Pendant Temp,"Warnbro Sound, South-West Australia",-32.34,115.747,Australia,,,Ecology,1440,,NA,10 min once a day,5-8 days,5-8 days,5-8 days,5-8 days,19,24,,NA,19-24m,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Munks et al., 2015",http://dx.doi.org/10.1016/j.jembe.2015.06.006,,
Gage,Onset Computer Corporation,HOBO Pendant Temp,HOBO Pendant Temp,"Ofu Island, America Samoa () ",-14.17808,-169.66011,Samoa,,,Ecology,15,,NA,,1 year,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Klepac and Barshis 2020,http://dx.doi.org/10.1098/rspb.2020.1379,,
Nicole,Onset Computer Corporation,HOBO Pendant Temp,HOBO Pendant Temp,"Southeast Florida (e.g.,  & 25º40.707' N, 80º07.111 W)",27.13167,-80.14033,Florida,,,Ecology,120,,NA,,9.5 yrs,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Walton et al., 2018",http://dx.doi.org/10.3389/fmars.2018.00323,sensors replaced yearly,
Nicole,Onset Computer Corporation,HOBO Pendant Temp,HOBO Pendant Temp,"A‘alapapa Reef (offshore from Lanikai Beach), O‘ahu, Hawai‘i",21.39473,-157.71584,Hawaii,Hawaii,Oahu,Ecology,Not mentioned,,NA,,1 yr 5 months,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Yes,"Yes (""Loggers were wrapped in reflective tape to avoid overheating and subsequent misrepresentation of water temperature (Bahr et al. 2016)"")",No,,"Sale et al., 2019",http://dx.doi.org/10.3354/meps13031,,
Nicole,Onset Computer Corporation,HOBO Pendant Temp/Alarm 64k,HOBO Pendant Temp,"Fsar (22° 13.957 N 39° 01.816′ E) & Abu Madafi, Saudi Arabia, Red Sea",22.08682,38.77833,Saudi Arabia,,,Ecology,60,,NA,,~5 months,,,,1,15,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Hume et al., 2020",http://dx.doi.org/10.1007/s00338-020-01917-7,,
Jess,Onset Computer Corporation,HOBO Pendant Temp/Light,HOBO Pendant Temp/Light,26°38′36.40″ N; 127°51′49.55″ E,26.64344,127.86376,Japan,,,Ecology,60,,NA,,approx. 150,,,,0,2.5,,NA,0-2.5,Not mentioned,,,Yes,,Not mentioned,,Yes,,"Das RR, Wada H, Masucci GD, Singh T, Tavakoli-Kolour P, Wada N, Tang S-L, Yamashiro H, Reimer JD. Four-Year Field Survey of Black Band Disease and Skeletal Growth Anomalies in Encrusting Montipora spp. Corals around Sesoko Island, Okinawa. Diversity. 2022; 14(1):32. https://doi.org/10.3390/d14010032",10.3390/d14010032,,
Wally,Onset Computer Corporation,HOBO Pendant Temp/Light,HOBO Pendant Temp/Light,"Davies Reef, Australia (, )",-18.83002,147.65162,Australia,,,Ecology,Not mentioned,,NA,,7 months,,,,5,10,15,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Anderson et al. 2018,http://dx.doi.org/10.1007/s00338-018-1666-1,,
Wally,Onset Computer Corporation,HOBO Pendant Temp/Light,HOBO Pendant Temp/Light,"Faafu Atoll, Maldives",3.2309,72.9461,Maldives,,,Ecology,30,,NA,,5 days,,,,2,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Seveso et al. 2018,http://dx.doi.org/10.1007/s00338-018-1703-0,,
Wally,Onset Computer Corporation,HOBO Pendant Temp/Light,HOBO Pendant Temp/Light,"Zihuatanejo, Mexico",17.64167,-101.5517,Mexico,,,Ecology,5,,NA,,3 days,,,,5,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Nava et al. 2019,http://dx.doi.org/10.1017/S0025315418000899,,
Wally,Onset Computer Corporation,HOBO Pendant Temp/Light,HOBO Pendant Temp/Light,"Florida Keys ( ,  )",24.58588,-81.58143,Florida,,,Ecology,60,,NA,,1 yr,,,,3,,,NA,,0.53,,,Not mentioned,,Not mentioned,,No,,Kenkel et al. 2015,http://dx.doi.org/10.1890/14-2297.1,,
Lena,Onset Computer Corporation,HOBO Pendant Temp/Light,HOBO Pendant Temp/Light,"(25.824 N, −77.91 W)",25.824,-77.91,Florida,,,Ecology,120,,NA,,Not mentioned,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"VanWynen et al., 2021",http://dx.doi.org/10.3389/fmars.2021.669966,,
Wally,Onset Computer Corporation,HOBO Pendant Temp/Light,HOBO Pendant Temp/Light,Puerto Rico,18.46633,-66.10572,Caribbean,,,Physical Oceanography,15,,NA,,3 years,,,,1,13,,NA,,0.53,,,Yes,,Not mentioned,,Yes,,Gomez et al. 2020,http://dx.doi.org/10.3390/jmse8060453,Range of depths between 1-13m,
Jess,Onset Computer Corporation,HOBO Pendant Temp/Light 64k,HOBO Pendant Temp/Light,"4 sites from the Hija River mouth and along the adjacent Mizugama coast, Okinawa, Japan",26.3601,127.7437,Japan,Okinawa,,Ecology,60,,NA,,approx. 600 but loggers replaced as necessary,,,,2,10,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Wee HB, Kobayashi Y, Reimer JD (2021) Effects of temperature, salinity, and depth on Symbiodiniaceae lineages hosted by Palythoa tuberculosa near a river mouth. Mar Ecol Prog Ser 667:43-60. https://doi.org/10.3354/meps13706",10.3354/meps13706,,
Jess,Onset Computer Corporation,HOBO Pendant Temp/Light 64k,HOBO Pendant Temp/Light,"21° 16’ 10” N, 157° 50’ 15” W",21.26944,-157.8375,Hawaii,Hawaii,,Ecology,Not mentioned,,NA,,not explicitly stated but present 365d of data,,,,12,18,5,NA,,0.53,,,Not mentioned,,Not mentioned,,No,,"Jones R, Brush E, Dilley E, Hixon M (2021). Autumn coral bleaching in Hawai‘i. Marine Ecology Progress Series. 675. 10.3354/meps13837. ",10.3354/meps13837,,
Gage,Onset Computer Corporation,HOBO Pendant Temp/Light 64k,HOBO Pendant Temp/Light,"Little Cayman Island, Caribbean",19.6833,-80.05,Caribbean,,,Ecology,30,,NA,,7 months,,,,6,16,,NA,"6-8, 16-18",Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Maneval et al. 2021,http://dx.doi.org/10.3389/fmars.2021.670474,,
Nicole,Onset Computer Corporation,HOBO Pendant Temp/Light 64k UA-002-64,HOBO Pendant Temp/Light,"Punta Soldado Reef (PTS), Culebra Island, Puerto Rico",18.30301,-65.30099,Caribbean,,,Ecology,15,,NA,,30-40 days,,,,5,8,12,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Ruiz-Diaz et al., 2022",http://dx.doi.org/10.3390/w14020212,sensors replaced monthly,
Nicole,Onset Computer Corporation,HOBO Pendant thermographs,HOBO Pendant,"Isla Larga (20.699167° N, 105.582111° W), Isla Redonda (, ) and Punta de Mita (20.76° N, 105.54° W), Central Mexican Pacific",20.71394,-105.565,Mexico,,,Ecology,15,,NA,,~ 2 yrs,,,,5,16,,NA,16-May,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Martínez-Castillo et al., 2020",http://dx.doi.org/10.1007/s00338-020-01957-z,each sensor was replaced every two months,
Lena,Onset Computer Corporation,HOBO Pendant UA-001,HOBO Pendant Temp,"Central Maldives (Dinoluga, Hulhumale, Mathiveri)",1.92499,73.39966,Maldives,,,Biogeochemistry,15,,NA,,9 days in April 2015,,,,10,30,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Radice et al. 2022,http://dx.doi.org/10.1002/lno.12157,,
Wally,Onset Computer Corporation,HOBO Pendant UA-001-64,HOBO Pendant Temp,"Maui, Hawaii",20.79836,-156.33192,Hawaii,Hawaii,Maui,Ecology,10,,NA,,Not mentioned,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Kaplan et al. 2018,http://dx.doi.org/10.1007/s00338-017-1638-x,,
Wally,Onset Computer Corporation,HOBO Pendant UA-001-64,HOBO Pendant Temp,"Heron Island, Australia (, )",-23.45,151.91667,Australia,,,Ecology,60,,NA,,1 yr,,,,0.7,8,,NA,,0.552,,,Yes,,Not mentioned,,No,,Brown et al. 2023,http://dx.doi.org/10.1007/s00338-022-02328-6,,
Wally,Onset Computer Corporation,HOBO Pendant UA-001-64,HOBO Pendant Temp,"Heron Island, Australia",-23.45,151.91667,Australia,,,Ecology,60,,NA,,1 yr,,,,5,8,Not mentioned,NA,reef crest,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Brown et al. 2021,http://dx.doi.org/10.3389/fmars.2018.00181,,
Wally,Onset Computer Corporation,HOBO Pendant UA-001-64,HOBO Pendant Temp,"Farasan Banks, Saudi Arabia",16.7035,41.98333,Saudi Arabia,Jazair Farasan,South,Physical Oceanography,15,60,NA,,1 yr ,2 yr,,,1,11,28,NA,,0.21,0.21,,Yes,,Yes,,Yes,,DeCarlo et al. 2021,http://dx.doi.org/10.1029/2020JC016493,Range of depths and durations but these were listed specifically ,
Lena,Onset Computer Corporation,HOBO Pendant UA-001-64 ,HOBO Pendant Temp,18° 36′3.6″S 146° 29′20.4″E,-18.601,146.489,Australia,,,Ecology,30,,NA,,12 months,,,,2,3,,NA,2-3m,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,?,"Epstein et al., 2019", http://dx.doi.org/10.1007/s00338-019-01783-y,,
Wally,Onset Computer Corporation,Hobo pendant UA-002-08,HOBO Pendant Temp/Light,Bahamas,25.0343,-77.3963,Bahamas,New Providence Island,,Ecology,15,,NA,,5 months,,,,2.5,3.3,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Parker et al. 2020,http://dx.doi.org/10.1007/s00338-020-01948-0,,
